movie_id,amazon_title,rating,amazon_link
36670,Never Say Never Again,4.2 out of 5 stars,www.amazon.com/Never-Say-Again-Sean-Connery/dp/B00004WEJZ/ref=sr_1_1?dchild=1&keywords=dvd+movie+%22Never+Say+Never+Again%22&qid=1591017659&sr=8-1
36685,The Rocky Horror Picture Show,4.7 out of 5 stars,www.amazon.com/Rocky-Horror-Picture-Show/dp/B009MZQQWA/ref=sr_1_3?dchild=1&keywords=dvd+movie+%22The+Rocky+Horror+Picture+Show%22&qid=1591017672&sr=8-3
36691,Solitary Man,3.8 out of 5 stars,www.amazon.com/Solitary-Man-Michael-Douglas/dp/B003Q6D21Y/ref=sr_1_6?dchild=1&keywords=dvd+movie+%22Solitary+Man%22&qid=1591017680&sr=8-6
36696,Space Dogs,3.6 out of 5 stars,www.amazon.com/Space-Dogs-Chloe-Grace-Moritz/dp/B006QWC33S/ref=sr_1_11?dchild=1&keywords=dvd+movie+%22Space+Dogs%22&qid=1591017683&sr=8-11
36738,Boy Interrupted,4.4 out of 5 stars,www.amazon.com/Boy-Interrupted-TBC/dp/B002FU6F16/ref=sr_1_3?dchild=1&keywords=dvd+movie+%22Boy+Interrupted%22&qid=1591017694&sr=8-3
36759,Sgt. Pepper's Lonely Hearts Club Band,4.6 out of 5 stars,www.amazon.com/Sgt-Peppers-Lonely-Hearts-Club/dp/B00009APB6/ref=sr_1_1?dchild=1&keywords=dvd+movie+%22Sgt.+Pepper%27s+Lonely+Hearts+Club+Band%22&qid=1591017696&sr=8-1
36762,Rock 'n' Roll Nightmare,3.8 out of 5 stars,www.amazon.com/Rock-Roll-Nightmare-Clara-Pater/dp/B000FI8MMU/ref=sr_1_1?dchild=1&keywords=dvd+movie+%22Rock+%27n%27+Roll+Nightmare%22&qid=1591017699&sr=8-1
36797,Rocketman,Amazon's Choice,www.amazon.com/Rocketman-Taron-Egerton/dp/B07RP4TZZJ/ref=sr_1_4?dchild=1&keywords=dvd+movie+%22RocketMan%22&qid=1591017707&sr=8-4
36819,Time Bandits,4.3 out of 5 stars,www.amazon.com/Time-Bandits-John-Cleese/dp/B004ALIG0G/ref=sr_1_5?dchild=1&keywords=dvd+movie+%22Time+Bandits%22+1981&qid=1591017722&sr=8-5
36851,Beau Geste,3.1 out of 5 stars,www.amazon.com/Episode-2/dp/B07BY741K7/ref=sr_1_fkmr0_2?dchild=1&keywords=dvd+movie+%22Beau+Geste%22+1939&qid=1591017728&sr=8-2-fkmr0
