id,title,original_title,release_date,budget
36663,Dreamkiller,Dreamkiller,,2500000
36668,X-Men: The Last Stand,X-Men: The Last Stand,5/24/2006,210000000
36669,Die Another Day,Die Another Day,11/17/2002,140000000
36677,Solarbabies,Solarbabies,11/26/1986,25000000
36683,20th Century Boys - Chapter 1: Beginning of the End,２０世紀少年< 第1章> 終わりの始まり,8/19/2008,20000000
36686,The Tomb,Ligeia,11/5/2009,8800000
36698,The Interceptor,Запрещeнная реальность,10/8/2009,7000000
36784,Stricken,Komt een vrouw bij de dokter,11/26/2009,4000000
36799,Sugar,Sugar,5/22/2004,375581
36800,Metropia,Metropia,10/21/2009,5060730
37003,U2 3D,U2 3D,5/19/2007,15000000
37135,Tarzan,Tarzan,6/18/1999,150000000
37169,The Human Centipede (First Sequence),The Human Centipede (First Sequence),4/26/2009,2011799
37218,For the Moment,For the Moment,10/1/1993,120
37234,Sex & Drugs & Rock & Roll,Sex & Drugs & Rock & Roll,1/8/2010,2000000
37257,Witness for the Prosecution,Witness for the Prosecution,12/17/1957,3000000
37284,Acacia,아카시아,10/17/2003,2000000
37291,Trust,Trust,9/9/1990,700000
37460,Raavan,रावण,6/18/2010,4500000
37532,Slam,Slam,10/7/1998,1
37645,22 Bullets,L'Immortel,3/23/2010,24000000
37653,The Three Brothers,Les Trois Frères,12/13/1995,7500000
37656,Hooked on the Game,Na Igre,11/26/2009,3500000
37695,Newsmakers,Goryachie Novosti,5/7/2009,4000000
37821,Killers,Killers,6/4/2010,75000000
37828,Armadillo,Armadillo,5/27/2010,1500000
37851,Hooked on the Game 2. The Next Level,Na Igre 2. Novyy Uroven,4/15/2010,3500000
37931,MacGruber,MacGruber,5/21/2010,10000000
37935,One Dark Night,One Dark Night,2/1/1983,978000
37941,Vinnaithaandi Varuvaayaa,விண்ணைத்தாண்டி வருவாயா,2/26/2010,3000000
38046,Retrograde,Retrograde,11/2/2004,2000000
38065,Salvage,Salvage,1/1/2006,25000
38135,The Debut,The Debut,5/18/2000,1000000
38140,To Rob a Thief,Ladrón que roba a ladrón,8/31/2007,4002313
38171,Anastasia,Anastasia,12/13/1956,3520000
38234,Undisputed III : Redemption,Undisputed III : Redemption,5/22/2010,3000000
38318,Burnt by the Sun 2: Intercession,Утомленные солнцем 2: Предстоящие,4/22/2010,55000000
38336,Hipsters,Стиляги,12/25/2008,15000000
38399,Foon,Foon,11/30/2005,1645885
38541,The Divide,The Divide,3/13/2011,3000000
38557,The River,The River,12/1/1984,18000000
38560,Sunset,Sunset,4/29/1988,16000000
38722,My Family,My Family,5/3/1995,5500000
38794,Tosun Pasha,Tosun Paşa,1/1/1976,64200
38809,Black and White,Black and White,9/4/1999,10000000
38821,The Tough Ones,Häjyt,1/14/1999,1143000
38985,Sorcerer,Sorcerer,6/24/1977,22000000
39183,Once in a Lifetime: The Extraordinary Story of the New York Cosmos,Once in a Lifetime: The Extraordinary Story of the New York Cosmos,1/1/2006,1000000
39209,Shalako,Shalako,11/6/1968,1455000
39210,Somewhere,Somewhere,9/3/2010,8000000
39241,The Human Dutch,Alleman,1/1/1963,250000
39256,Godzilla 1985,Godzilla 1985,12/15/1984,2000000
39283,Carnosaur,Carnosaur,5/21/1993,1000000
39356,Boy,Boy,2/14/2010,3
39385,La vérité si je mens !,La vérité si je mens !,4/1/1997,4000000
39433,The Front,The Front,4/17/2010,5000000
39446,At Risk,At Risk,4/10/2010,5000000
39458,I Got Next,I Got Next,6/13/2011,10000
39513,Paul,Paul,2/14/2011,40000000
39514,RED,RED,10/13/2010,58000000
39691,Cats & Dogs 2 : The Revenge of Kitty Galore,Cats & Dogs 2 : The Revenge of Kitty Galore,7/30/2010,85000000
39800,Life During Wartime,Life During Wartime,10/10/2009,4500000
39844,Deranged,Deranged,2/2/1974,200000
39868,Evilspeak,Evilspeak,8/22/1981,1000000
39882,Schoolgirls in Chains,Schoolgirls in Chains,1/1/1973,45000
40026,Night Shadows,Night Shadows,8/1/1984,2500000
40047,Elvis,Elvis,2/10/1979,2100000
40168,Scarecrows,Scarecrows,9/28/1988,425000
40171,Woochi : The Demon Slayer,전우치,12/23/2009,12000000
40220,The Boogey Man,The Boogey Man,11/7/1980,300000
40241,The Unseen,The Unseen,9/1/1980,2000000
40342,Demons 2,Dèmoni 2... L'incubo ritorna,10/9/1986,1500000
40537,Eyeborgs,Eyeborgs,4/29/2009,3700000
40562,Committed,Committed,1/21/2000,3000000
40652,The Married Woman,Une femme mariée: Suite de fragments d'un film tourné en 1964,12/4/1964,120000
40660,If You Love,Jos rakastat,1/6/2010,2000000
40688,Meet the Deedles,Meet the Deedles,3/27/1998,24000000
40820,Punchline,Punchline,10/7/1988,15000000
40864,Last Cowboy Standing,Skavabölen pojat,9/4/2009,2270000
40895,The Investigator,A nyomozó,7/10/2008,650000
41123,Lourdes,Lourdes,9/11/2009,2500000
41141,The Border,Raja 1918,11/30/2007,2691570
41142,Under the North Star,Täällä Pohjantähden alla,12/4/2009,6153120
