,adult,budget,genres,id,imdb_id,original_language,popularity,production_companies,release_date,revenue,runtime,status,title,vote_average,vote_count
2,FALSE,4000000,"[{'id': 80, 'name': 'Crime'}, {'id': 35, 'name': 'Comedy'}]",5,tt0113101,en,9.026586,"[{'name': 'Miramax Films', 'id': 14}, {'name': 'A Band Apart', 'id': 59}]",12/9/1995,4300000.0,98.0,Released,Four Rooms,6.5,539.0
4,FALSE,11000000,"[{'id': 12, 'name': 'Adventure'}, {'id': 28, 'name': 'Action'}, {'id': 878, 'name': 'Science Fiction'}]",11,tt0076759,en,42.149697,"[{'name': 'Lucasfilm', 'id': 1}, {'name': 'Twentieth Century Fox Film Corporation', 'id': 306}]",5/25/1977,775398007.0,121.0,Released,Star Wars,8.1,6778.0
5,FALSE,94000000,"[{'id': 16, 'name': 'Animation'}, {'id': 10751, 'name': 'Family'}]",12,tt0266543,en,25.497794,"[{'name': 'Pixar Animation Studios', 'id': 3}]",5/30/2003,940335536.0,100.0,Released,Finding Nemo,7.6,6292.0
6,FALSE,55000000,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",13,tt0109830,en,48.307194,"[{'name': 'Paramount Pictures', 'id': 4}]",7/6/1994,677945399.0,142.0,Released,Forrest Gump,8.2,8147.0
7,FALSE,15000000,"[{'id': 18, 'name': 'Drama'}]",14,tt0169547,en,20.726578,"[{'name': 'DreamWorks SKG', 'id': 27}, {'name': 'Jinks/Cohen Company', 'id': 2721}]",9/15/1999,356296601.0,122.0,Released,American Beauty,7.9,3438.0
8,FALSE,839727,"[{'id': 9648, 'name': 'Mystery'}, {'id': 18, 'name': 'Drama'}]",15,tt0033467,en,15.811921,"[{'name': 'RKO Radio Pictures', 'id': 6}, {'name': 'Mercury Productions', 'id': 11447}]",4/30/1941,23217674.0,119.0,Released,Citizen Kane,8.0,1244.0
9,FALSE,12800000,"[{'id': 18, 'name': 'Drama'}, {'id': 80, 'name': 'Crime'}, {'id': 10402, 'name': 'Music'}]",16,tt0168629,en,10.684806,"[{'name': 'Fine Line Features', 'id': 8}, {'name': 'Zentropa Entertainments', 'id': 76}, {'name': 'Danmarks Radio (DR)', 'id': 119}, {'name': 'SVT Drama', 'id': 157}, {'name': 'Arte', 'id': 201}, {'name': 'Memfis Film', 'id': 321}, {'name': 'France 3 Cinéma', 'id': 591}, {'name': 'Angel films', 'id': 2996}, {'name': 'TV 1000', 'id': 4524}, {'name': 'Canal+', 'id': 5358}, {'name': 'Constantin Film Produktion', 'id': 5755}, {'name': 'Yleisradio (YLE)', 'id': 5975}, {'name': 'Arte France Cinéma', 'id': 6916}, {'name': 'Westdeutscher Rundfunk (WDR)', 'id': 7025}, {'name': 'Blind Spot Pictures Oy', 'id': 7330}, {'name': 'Vrijzinnig Protestantse Radio Omroep (VPRO)', 'id': 8659}, {'name': 'Film4', 'id': 9349}, {'name': 'Liberator Productions', 'id': 11239}, {'name': 'Icelandic Film', 'id': 14937}, {'name': 'Film i Väst', 'id': 17513}, {'name': 'Pain Unlimited GmbH Filmproduktion', 'id': 30268}, {'name': 'Trust Film Svenska', 'id': 53667}, {'name': 'Cinematograph A/S', 'id': 53668}, {'name': 'What Else? B.V', 'id': 53669}, {'name': 'Filmek A/S', 'id': 53670}, {'name': 'Lantia Cinema & Audiovisivi', 'id': 53671}]",5/17/2000,40031879.0,140.0,Released,Dancer in the Dark,7.7,392.0
11,FALSE,90000000,"[{'id': 12, 'name': 'Adventure'}, {'id': 14, 'name': 'Fantasy'}, {'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}, {'id': 878, 'name': 'Science Fiction'}]",18,tt0119116,en,24.30526,"[{'name': 'Columbia Pictures', 'id': 5}, {'name': 'Gaumont', 'id': 9}]",5/7/1997,263920180.0,126.0,Released,The Fifth Element,7.3,3962.0
12,FALSE,92620000,"[{'id': 18, 'name': 'Drama'}, {'id': 878, 'name': 'Science Fiction'}]",19,tt0017136,de,14.487867,"[{'name': 'Paramount Pictures', 'id': 4}, {'name': 'Universum Film (UFA)', 'id': 12372}]",1/10/1927,650422.0,153.0,Released,Metropolis,8.0,666.0
15,FALSE,140000000,"[{'id': 12, 'name': 'Adventure'}, {'id': 14, 'name': 'Fantasy'}, {'id': 28, 'name': 'Action'}]",22,tt0325980,en,47.326665,"[{'name': 'Walt Disney Pictures', 'id': 2}, {'name': 'Jerry Bruckheimer Films', 'id': 130}]",7/9/2003,655011224.0,143.0,Released,Pirates of the Caribbean: The Curse of the Black Pearl,7.5,7191.0
16,FALSE,30000000,"[{'id': 28, 'name': 'Action'}, {'id': 80, 'name': 'Crime'}]",24,tt0266697,en,25.261865,"[{'name': 'Miramax Films', 'id': 14}, {'name': 'A Band Apart', 'id': 59}, {'name': 'Super Cool ManChu', 'id': 39121}]",10/10/2003,180949000.0,111.0,Released,Kill Bill: Vol. 1,7.7,5091.0
17,FALSE,72000000,"[{'id': 18, 'name': 'Drama'}, {'id': 10752, 'name': 'War'}]",25,tt0418763,en,9.997032,"[{'name': 'Universal Pictures', 'id': 33}, {'name': 'Neal Street Productions', 'id': 1522}, {'name': 'Red Wagon Entertainment', 'id': 14440}, {'name': 'Motion Picture KAPPA Produktionsgesellschaft', 'id': 19934}]",11/4/2005,96889998.0,125.0,Released,Jarhead,6.6,776.0
18,FALSE,1400000,"[{'id': 18, 'name': 'Drama'}]",26,tt0352994,he,1.709996,"[{'name': 'Lama Films', 'id': 15}, {'name': 'United King Films', 'id': 16}]",2/5/2004,0.0,103.0,Released,Walk on Water,6.5,20.0
19,FALSE,1000000,"[{'id': 18, 'name': 'Drama'}, {'id': 10402, 'name': 'Music'}, {'id': 10749, 'name': 'Romance'}]",27,tt0411705,en,18.847707,"[{'name': 'Revolution Films', 'id': 163}]",7/16/2004,1574623.0,66.0,Released,9 Songs,5.1,103.0
20,FALSE,31500000,"[{'id': 18, 'name': 'Drama'}, {'id': 10752, 'name': 'War'}]",28,tt0078788,en,13.5963,"[{'name': 'United Artists', 'id': 60}, {'name': 'Zoetrope Studios', 'id': 26663}]",8/15/1979,89460381.0,153.0,Released,Apocalypse Now,8.0,2112.0
22,FALSE,14000000,"[{'id': 37, 'name': 'Western'}]",33,tt0105695,en,10.942149,"[{'name': 'Malpaso Productions', 'id': 171}, {'name': 'Warner Bros.', 'id': 6194}]",8/7/1992,159157447.0,131.0,Released,Unforgiven,7.7,1133.0
23,FALSE,75000000,"[{'id': 16, 'name': 'Animation'}, {'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}]",35,tt0462538,en,14.302911,"[{'name': 'Gracie Films', 'id': 18}, {'name': 'Twentieth Century Fox Film Corporation', 'id': 306}]",7/25/2007,527068851.0,87.0,Released,The Simpsons Movie,6.9,2335.0
24,FALSE,20000000,"[{'id': 878, 'name': 'Science Fiction'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",38,tt0338013,en,12.906327,"[{'name': 'Anonymous Content', 'id': 10039}, {'name': 'This Is That Productions', 'id': 10059}, {'name': 'Focus Features', 'id': 10146}]",3/19/2004,72258126.0,108.0,Released,Eternal Sunshine of the Spotless Mind,7.9,3758.0
25,FALSE,2000000,"[{'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]",55,tt0245712,es,5.958138,"[{'name': 'Altavista Films', 'id': 5084}, {'name': 'Zeta Film', 'id': 11230}]",6/16/2000,20908467.0,154.0,Released,Amores perros,7.6,537.0
26,FALSE,200000000,"[{'id': 12, 'name': 'Adventure'}, {'id': 14, 'name': 'Fantasy'}, {'id': 28, 'name': 'Action'}]",58,tt0383574,en,29.455314,"[{'name': 'Walt Disney Pictures', 'id': 2}, {'name': 'Jerry Bruckheimer Films', 'id': 130}, {'name': 'Second Mate Productions', 'id': 19936}]",6/20/2006,1065659812.0,151.0,Released,Pirates of the Caribbean: Dead Man's Chest,7.0,5380.0
