name,id
Miramax Films,14
A Band Apart,59
Lucasfilm,1
Twentieth Century Fox Film Corporation,306
Pixar Animation Studios,3
Paramount Pictures,4
DreamWorks SKG,27
Jinks/Cohen Company,2721
RKO Radio Pictures,6
Mercury Productions,11447
Fine Line Features,8
Zentropa Entertainments,76
Danmarks Radio (DR),119
SVT Drama,157
Arte,201
Memfis Film,321
France 3 Cinéma,591
Angel films,2996
TV 1000,4524
Canal+,5358
Constantin Film Produktion,5755
Yleisradio (YLE),5975
Arte France Cinéma,6916
Westdeutscher Rundfunk (WDR),7025
Blind Spot Pictures Oy,7330
Vrijzinnig Protestantse Radio Omroep (VPRO),8659
Film4,9349
Liberator Productions,11239
Icelandic Film,14937
Film i Väst,17513
Pain Unlimited GmbH Filmproduktion,30268
Trust Film Svenska,53667
Cinematograph A/S,53668
What Else? B.V,53669
Filmek A/S,53670
Lantia Cinema & Audiovisivi,53671
Columbia Pictures,5
Gaumont,9
Universum Film (UFA),12372
Walt Disney Pictures,2
Jerry Bruckheimer Films,130
Super Cool ManChu,39121
Universal Pictures,33
Neal Street Productions,1522
Red Wagon Entertainment,14440
Motion Picture KAPPA Produktionsgesellschaft,19934
Lama Films,15
United King Films,16
Revolution Films,163
United Artists,60
Zoetrope Studios,26663
Malpaso Productions,171
Warner Bros.,6194
Gracie Films,18
Anonymous Content,10039
This Is That Productions,10059
Focus Features,10146
Altavista Films,5084
Zeta Film,11230
Second Mate Productions,19936
New Line Cinema,12
DC Comics,429
BenderSpink,6363
Stanley Kubrick Productions,385
Metro-Goldwyn-Mayer (MGM),8411
Atlas Entertainment,507
Classico,17031
Vía Digital,357
Good Machine,10565
El Deseo S.A.,11736
Antena 3 Televisión,11737
Imagine Entertainment,23
Mikona Productions GmbH & Co. KG,24
Castle Rock Entertainment,97
Embassy International Pictures,10214
Tree Line Films,84
Konrad Pictures,85
Catfish Productions,86
Fox 2000 Pictures,711
Mars Media Beteiligungs,6402
Lakeshore Entertainment,126
Epsilon Motion Pictures,1171
Albert S. Ruddy Productions,16311
BBC Films,288
Tiger Aspect Productions,686
StudioCanal,694
Arts Council of England,718
Working Title Films,10163
WT2 Productions,10462
The Turman-Morrissey Company,924
Savoy Pictures,11308
Cruise/Wagner Productions,44
Amblin Entertainment,56
Tim Burton Productions,8601
Detour Film Production,98
Summit Entertainment,491
Newmarket Capital Group,506
Team Todd,598
I Remember Productions,34446
Shaw Brothers,5798
The Ladd Company,7965
Beijing New Picture Film Co. Ltd.,724
China Film Co-Production Corporation,2269
Warner Independent Pictures (WIP),11509
Topcraft,29
Forward Pass,675
Motion Picture ETA Produktionsgesellschaft,52844
Foqus Arte Digital,52845
Metropolis Films,52846
Plunge Pictures LLC,22376
MOOVIE - the art of entertainment GmbH,74
Medienfonds German Film Productions GmbH & Co. KG,75
Great American Films Limited Partnership,137
Vestron Pictures,12360
Eddie Murphy Productions,30
Ramón Acín,85869
Touchstone Pictures,9195
Valhalla Motion Pictures,11533
Don Simpson/Jerry Bruckheimer Films,10288
Lisberger/Kushner,558
Scott Free Productions,1645
Mill Film,21904
C & L,21905
Dawliz,21906
Renn Productions,82
France 2 Cinéma,83
Handmade Films Ltd.,146
PolyGram Filmed Entertainment,1382
SKA Films,13419
The Steve Tisch Company,21920
Columbia Pictures Corporation,441
Italo/Judeo Productions,46059
Bill/Phillips,46060
X-Filme Creative Pool,1972
U-Drive Productions,20448
Lawrence Gordon Productions,840
Davis Entertainment,1302
Silver Pictures,1885
Amercent Films,5263
American Entertainment Partners L.P.,5264
Screen Gems,3287
Silver Screen Partners IV,10282
Gramercy Pictures,37
DreamWorks,7
Village Roadshow Pictures,79
The Zanuck Company,80
Plan B Entertainment,45778
Theobald Film Productions,55512
WingNut Films,11
The Saul Zaentz Company,5237
Fantasy Films,286
Studio Ghibli,10342
Nibariki,12516
Nippon Television Network (NTV),20192
Mike Zoss Productions,2092
Studio Canal,5870
Televisión Española TVE,6780
Canal+ España,9335
Pandora Cinema,185
Flower Films,2214
Adam Fields Productions,3334
River Road Entertainment,1246
Alberta Film Entertainment,3997
Road Movies Filmproduktion GmbH,45
Argos Films,6116
Sony Pictures Classics,58
Columbia Pictures Film Production Asia,2798
EDKO Film,12205
Asia Union Film & Entertainment Ltd.,20289
United China Vision,20290
Zoom Hunt International Productions Company Ltd.,20291
Hotshot Films,78
Bandai Visual Company,528
Toho Company,882
Mainichi Broadcasting System (MBS),3363
Kodansha,6999
Tokyo Movie Shinsha (TMS),9155
TMS Entertainment,10919
Akira Committee Company Ltd.,10920
Sumitomo Corporation,10921
American Zoetrope,70
Legendary Pictures,923
DC Entertainment,9993
Syncopy,9996
Section Eight,129
NPV Entertainment,172
Jerry Weintraub Productions,2596
WV Films II,24939
WV Films III,12202
Jurow-Shepherd,11355
Intermedia Films,763
Pathé Pictures International,1178
IMF Internationale Medien und Film GmbH & Co. 3. Produktions KG,19116
DNA Films,284
British Film Council,10889
Walt Disney Productions,3166
Lions Gate Films,35
Twisted Pictures,2061
Evolution Entertainment,23019
Saw Productions Inc.,55405
TriStar Pictures,559
Mirage Enterprises,932
Misher Films,11581
Motion Picture JOTA Produktions,20194
Blue Tulip Productions,766
Ronald Shusett/Gary Goldman,26265
Digital Image Associates,76068
Section Eight Productions,14315
Sunset Gower Studios,70319
Hawk Films,88
The Weinstein Company,308
FilmEngine,816
Capitol Films,826
Ascendant Pictures,1204
VIP Medienfonds 4,2116
The Complex Studio,21962
Dimension Films,7405
Troublemaker Studios,10807
Miramax,53009
AR Films,11005
Aldamisa Entertainment,11006
Demarest Films,13241
Solipsist Film,29076
Residaco,41658
Zweites Deutsches Fernsehen (ZDF),4606
Les Films Ariane,7110
RAI Radiotelevisione Italiana,20091
Cristaldifilm,45693
Claudie Ossard Productions,592
MMC Independent,4411
Tapioca Films,12000
Sofica Sofinergie 5,23446
Victoires Productions,25020
Filmstiftung Nordrhein-Westfalen,27897
Union Générale Cinématographique (UGC),30994
Icon Entertainment International,4564
B.H. Finance C.V.,11353
Scorsese Productions,120
Industrial Development Corporation of South Africa,564
Endgame Entertainment,1205
Miracle Pictures,2760
Sixth Sense Productions,7495
Mikado Film,11912
Inside Track Films,19834
Got Films,1053
Saw 2 Productions,64651
Filmverlag der Autoren,10869
Tango Film,11626
Orion Pictures,41
Pacific Western,1280
Hemdale Film,3952
Cinema 84,4764
Euro Film Funding,7745
El Deseo,49
Selznick International Pictures,1553
Fox Searchlight Pictures,43
The Independent Film Channel Productions,54
IFC Films,307
Killer Films,1422
Hart-Sharp Entertainment,11351
Participant Media,6735
FilmWorks,7786
4M,20665
MID Foundation,20666
Decla Film Gesellschaft Holz & Co.,55
Act III Communications,1153
The Body,90896
Act III,90897
Ciby 2000,105
Film Victoria,11840
House & Moorhouse Films,39250
Recorded Picture Company (RPC),11561
Alfran Productions,10211
The Mirisch Corporation,219
Ashton Productions,11982
The Coppola Company,536
Regency Enterprises,508
Alcor Films,644
Ixtlan,4198
New Regency Pictures,10104
J D Productions,68551
Buena Vista,32
Harris-Kubrick Productions,52795
Franton Production,1044
David L. Wolper Productions,3434
Eon Productions,7576
Danjaq,10761
Big Primate Pictures,68
MFPV Film,69
Les Films du Carrosse,53
Les Productions Artistes Associés,64
R.P. Productions,355
ETIC Films,2979
Runteam III Ltd.,6732
Avon Production,100
Rome Paris Films,109
Les Films Concordia,1714
Compagnia Cinematografica Champion,10000
The Guber-Peters Company,4357
Patalex III Productions Limited,19231
Cameo Film- und Fernsehproduktion,116
Kunsthochschule für Medien Köln (KHM),117
Strong Heart/Demme Production,55072
Laurinfilm,7733
Subterranean Productions LLC,7734
Subterranean Productions UK Ltd.,7735
Underworld Produktions GmbH,7736
Lightstorm Entertainment,574
Carolco Pictures,14723
T2 Productions,61409
The Mirisch Company,11241
The Mount Company,1312
Stanley Kramer Productions,893
Circle Films,11273
Yari Film Group,2448
The Samuel Goldwyn Company,8888
Desert Hearts Productions,80277
C-2 Pictures,7340
Mostow/Lieberman Productions,23636
City Light Films,136
TPS Star,6586
Partizan Films,11911
Canal Plus,104
Fidélité Productions,147
Gimages,148
FOZ,149
Headforce Ltd.,150
Bac Films,208
Five Roses,22456
Nordic Film,156
Sveriges Television (SVT),3221
Nimbus Film Productions,11672
Spyglass Entertainment,158
Shady Acres Entertainment,159
Pit Bull Productions,160
Rhombus Media,164
DiNovi Pictures,813
Frantic Films,52945
Maple Shade Films,52946
Catwoman Films,52947
Eve Productions Inc.,170
Peter Rommel Productions,166
Kintop Pictures,1490
Davis-Films,342
August Entertainment,3322
Morgan Creek Productions,10210
Alcon Entertainment,1088
Witt/Thomas Productions,1089
icon,4096
Office Kitano,567
Tokyo FM Broadcasting Co.,6516
Fuzzy Bunny Films (I),11562
Little Brother Inc.,11563
Universal Studios,13
Caravan Pictures,175
DiC Entertainment,20477
Ghoulardi Film Company,178
The Magnolia Project,179
Rafran Cinematografica,218
Finanzia San Marco,11386
WDR,46
Channel Four Films,181
JVC Entertainment,182
Le Studio Canal+,183
Locus Solus Entertainment,184
Pyramide Productions,186
Victor Musical Industries,187
Stillking Films,11345
Big Beach Films,12808
Telegraph Films,54285
Claussen + Wöbke Filmproduktion GmbH,161
Senator Film Produktion,191
Becker & Häberle Filmproduktion GmbH,5011
Traumwerk Filmproduktion GmbH,8465
Hobby Films,194
Pole Star,195
Brandywine Productions,19747
Dune Entertainment,444
Major Studio Partners,445
Peninsula Films,682
Smart Egg Pictures,1531
Star Partners II Ltd.,206
Radiant Film GmbH,209
Süddeutscher Rundfunk,210
Bavaria Film,1704
Twin Bros. Productions,11344
40 Acres & A Mule Filmworks,4319
Orion-Nova Productions,10212
Jolly Film,10481
Ocean Films,19498
David Brown Productions,903
Fat Free,65781
Impact Pictures,248
Studio Babelsberg,264
Lonlink Productions,19828
Kut Productions,19829
Charenton Productions Limited,19835
Revolution Sun Studios,76043
Chenault Productions,1684
